Flow Index,Time [us],Sequence Id,Delay [us]
0,1.01033e+07,0,21388.7
1,1.01057e+07,0,,23790.9
2,1.01084e+07,0,,,26474.5
3,1.01112e+07,0,,,,29288
3,1.01649e+07,1,,,,1030.15
0,1.01664e+07,1,2570.42
2,1.01681e+07,1,,,4253.97
1,1.017e+07,1,,6157.6
3,1.02468e+07,2,,,,1030.15
1,1.02487e+07,2,,2930.1
0,1.02501e+07,2,4293.95
2,1.0252e+07,2,,,6237.5
0,1.03347e+07,3,6998.51
1,1.03415e+07,3,,13815.2
3,1.03602e+07,3,,,,32476.7
0,1.04106e+07,4,1033.6
2,1.04153e+07,3,,,87590.8
3,1.04193e+07,4,,,,9668.12
1,1.04215e+07,4,,11873.3
4,1.04304e+07,0,,,,,348500
4,1.04341e+07,1,,,,,270215
5,1.04392e+07,4,,,,,,29588
4,1.04405e+07,2,,,,,194752
2,1.04419e+07,4,,,32295.7
6,1.04433e+07,4,,,,,,,33679.8
4,1.04468e+07,4,,,,,37193.6
7,1.0461e+07,3,,,,,,,,133331
7,1.04628e+07,4,,,,,,,,53232.2
6,1.04675e+07,0,,,,,,,385557
6,1.04698e+07,1,,,,,,,305946
6,1.04724e+07,2,,,,,,,226621
8,1.04766e+07,4,,,,,,,,,67020.7
1,1.0493e+07,5,,1522.32
6,1.04944e+07,5,,,,,,,2846.64
2,1.04957e+07,5,,,4171.44
0,1.04982e+07,5,6695.91
4,1.04997e+07,5,,,,,8140.22
3,1.0501e+07,5,,,,9484.25
5,1.05066e+07,5,,,,,,15071.6
8,1.05197e+07,5,,,,,,,,,28170.4
3,1.05745e+07,6,,,,1030.16
6,1.05759e+07,6,,,,,,,2414.14
2,1.05788e+07,6,,,5322.7
4,1.0583e+07,6,,,,,9553.81
1,1.05862e+07,6,,12780
0,1.05876e+07,6,14123.9
8,1.06004e+07,6,,,,,,,,,26942
5,1.06057e+07,6,,,,,,32281.5
6,1.06577e+07,7,,,,,,,2333.63
3,1.0659e+07,7,,,,3657.34
1,1.06604e+07,7,,5001.54
2,1.06617e+07,7,,,6325.09
0,1.06691e+07,7,13704.3
4,1.06705e+07,7,,,,,15168.6
5,1.06745e+07,7,,,,,,19148.3
5,1.07249e+07,0,,,,,,642992
5,1.07264e+07,1,,,,,,562557
5,1.07279e+07,2,,,,,,482141
5,1.07315e+07,3,,,,,,403806
3,1.07383e+07,8,,,,1030.16
6,1.07398e+07,8,,,,,,,2534.13
0,1.07413e+07,8,3988.94
1,1.0747e+07,8,,9703.32
2,1.07483e+07,8,,,11026.9
4,1.07497e+07,8,,,,,12431.4
5,1.07536e+07,8,,,,,,16311.1
0,1.08211e+07,9,1857.28
1,1.08225e+07,9,,3320.45
3,1.08254e+07,9,,,,6168.03
4,1.08268e+07,9,,,,,7612.24
5,1.08282e+07,9,,,,,,8976.07
6,1.08308e+07,9,,,,,,,11644.8
2,1.08323e+07,9,,,13069.6
3,1.09022e+07,10,,,,1030.16
